Protocol,Pool Address,Asset,APY,Base APY,Reward APY,TVL ($),Reward Tokens,APY (1D),APY (7D),APY (30D),Image,App Link
binance-staked-sol,,BNSOL,4.74432,4.74432,0.0,751046650,,0.00531,-0.09523,-0.32484,https://icons.llamao.fi/icons/protocols/binance-staked-sol,https://www.binance.com/en/solana-staking
jito-liquid-staking,,JITOSOL,5.14,5.14,0.0,735555598,,-0.03,-0.04,-0.32,https://icons.llamao.fi/icons/protocols/jito-liquid-staking,https://jito.network
blackrock-buidl,,BUIDL,3.55562,3.55562,0.0,653511207,,-0.00015,0.03673,0.04523,https://icons.llamao.fi/icons/protocols/blackrock-buidl,https://securitize.io/
jupiter-lend,,USDC,4.76249,4.06004,0.70245,434262798,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.06241,0.70461,-0.36261,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
jupiter-staked-sol,,JUPSOL,5.76559,5.76559,0.0,384207863,,-0.00352,-0.01609,0.19937,https://icons.llamao.fi/icons/protocols/jupiter-staked-sol,https://jup.ag/?ref=f6y1ryr2snn3
orca-dex,,BUTTCOIN-KINS,0.0,0.0,0.0,311681905,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
kamino-lend,,USDE,0.0,0.0,0.0,268656615,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
onre,,ONYC,11.64036,11.64036,0.0,247339570,,-0.00371,-0.02602,-0.11233,https://icons.llamao.fi/icons/protocols/onre,https://app.onre.finance
drift-staked-sol,,DSOL,5.58461,5.58461,0.0,207462456,,-0.00774,-0.03126,-0.26032,https://icons.llamao.fi/icons/protocols/drift-staked-sol,https://app.drift.trade
ondo-yield-assets,,USDY,3.55,3.55,0.0,181730879,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/ondo-yield-assets,https://ondo.finance
kamino-lend,,DSOL,0.0,0.0,0.0,180510221,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
marinade-liquid-staking,,MSOL,4.7899,4.7899,0.0,174703700,,0.05209,-2.91467,-0.02476,https://icons.llamao.fi/icons/protocols/marinade-finance,https://marinade.finance
hastra,,PRIME,4.79375,4.79375,0.0,167144576,,-0.05691,-0.74505,-0.87488,https://icons.llamao.fi/icons/protocols/hastra,https://hastra.io/
